               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,             0.02175,            0.021094,           0.0026893,             0.92999,             0.89253,             0.95532,             0.75111,            0.017079,           0.0086272,           0.0011228,           0.0089673,           0.0089673,           0.0089673
                  68,            0.021716,            0.020802,           0.0023114,             0.90707,             0.92878,              0.9587,             0.75168,            0.015963,           0.0089261,          0.00085438,           0.0089371,           0.0089371,           0.0089371
                  69,            0.021829,            0.020742,           0.0026929,             0.87014,             0.93554,             0.95316,             0.75109,            0.016822,           0.0082339,           0.0020442,           0.0089065,           0.0089065,           0.0089065
                  70,            0.021752,            0.021029,           0.0026973,             0.94791,             0.89841,             0.96183,             0.74395,            0.016532,           0.0088463,           0.0018763,           0.0088755,           0.0088755,           0.0088755
                  71,             0.02159,            0.021367,           0.0024097,             0.89653,             0.93531,             0.95862,             0.75678,            0.016229,           0.0085583,           0.0034653,           0.0088442,           0.0088442,           0.0088442
                  72,            0.021436,             0.02038,           0.0024703,             0.90989,             0.94596,             0.96727,              0.7587,            0.016941,           0.0084325,           0.0012719,           0.0088124,           0.0088124,           0.0088124
                  73,             0.02146,            0.020574,            0.002471,             0.91819,             0.92801,             0.96539,             0.77533,             0.01575,           0.0080695,           0.0023477,           0.0087804,           0.0087804,           0.0087804
                  74,            0.021536,            0.020319,           0.0023385,             0.87092,             0.89408,             0.95095,             0.75053,            0.016448,           0.0083759,           0.0046786,           0.0087479,           0.0087479,           0.0087479
                  75,            0.020981,            0.020432,           0.0026408,             0.87044,              0.9092,             0.94996,             0.74839,            0.016109,           0.0086062,           0.0040059,           0.0087151,           0.0087151,           0.0087151
                  76,            0.021186,            0.020245,           0.0020699,             0.86245,             0.92297,              0.9471,             0.74286,            0.016278,            0.008309,           0.0018831,            0.008682,            0.008682,            0.008682
                  77,            0.021085,            0.019787,           0.0022764,             0.90009,             0.92523,             0.95906,             0.77591,            0.015281,           0.0079289,           0.0025398,           0.0086485,           0.0086485,           0.0086485
                  78,            0.021193,            0.019869,           0.0022983,             0.90361,             0.93021,             0.96631,             0.77059,            0.015854,           0.0082086,           0.0010897,           0.0086146,           0.0086146,           0.0086146
                  79,            0.020796,             0.02057,           0.0021359,             0.89429,             0.90476,             0.96325,             0.77054,            0.015304,           0.0081605,           0.0042468,           0.0085805,           0.0085805,           0.0085805
                  80,            0.020655,            0.019759,           0.0021868,             0.89441,             0.93492,             0.96574,             0.76832,            0.015611,            0.008249,           0.0011615,           0.0085459,           0.0085459,           0.0085459
                  81,            0.020697,            0.020021,           0.0019864,              0.9131,             0.92935,             0.96896,             0.78162,            0.015449,           0.0080947,           0.0013412,           0.0085111,           0.0085111,           0.0085111
                  82,            0.020618,            0.020037,           0.0020267,             0.91048,              0.9358,             0.96711,             0.77878,            0.015638,           0.0078749,           0.0014987,           0.0084759,           0.0084759,           0.0084759
                  83,            0.020646,            0.019385,           0.0022511,             0.94385,             0.93153,             0.96246,               0.773,            0.015899,           0.0078912,          0.00064939,           0.0084404,           0.0084404,           0.0084404
                  84,            0.020645,            0.019603,           0.0022786,             0.92881,             0.91176,             0.96322,              0.7839,            0.015123,           0.0078867,          0.00080758,           0.0084046,           0.0084046,           0.0084046
                  85,            0.020179,            0.019062,           0.0018942,             0.94681,             0.94471,             0.97672,             0.79633,            0.015023,           0.0077923,          0.00069908,           0.0083684,           0.0083684,           0.0083684
                  86,            0.020304,            0.019708,           0.0020156,             0.91981,             0.93036,              0.9669,             0.78537,            0.015232,           0.0077498,          0.00071567,           0.0083319,           0.0083319,           0.0083319
                  87,            0.020467,            0.019685,            0.002122,             0.92651,             0.94263,             0.97487,             0.78144,            0.015524,           0.0079867,          0.00051721,           0.0082952,           0.0082952,           0.0082952
                  88,             0.01991,            0.019674,           0.0021517,             0.93126,             0.94038,             0.96806,             0.77928,            0.015501,           0.0079035,           0.0007956,           0.0082581,           0.0082581,           0.0082581
                  89,            0.020313,            0.019098,           0.0021247,             0.91226,             0.93522,             0.96542,             0.76986,            0.015496,           0.0079416,            0.002707,           0.0082207,           0.0082207,           0.0082207
                  90,            0.020166,            0.019436,            0.001968,             0.93185,             0.95598,             0.97059,             0.78904,             0.01475,           0.0075148,          0.00073791,            0.008183,            0.008183,            0.008183
                  91,            0.019804,            0.019316,            0.001993,             0.92284,             0.95328,             0.96441,              0.7897,             0.01446,             0.00726,          0.00091707,            0.008145,            0.008145,            0.008145
                  92,            0.020065,            0.019069,           0.0019693,              0.9267,             0.93539,             0.96843,             0.78886,            0.015178,           0.0076407,          0.00069025,           0.0081068,           0.0081068,           0.0081068
                  93,            0.019808,            0.019496,           0.0019973,              0.9158,             0.94904,             0.97088,             0.79394,            0.015434,           0.0076464,           0.0012251,           0.0080682,           0.0080682,           0.0080682
                  94,            0.020004,            0.019182,           0.0019687,             0.87153,             0.95056,             0.95757,             0.76778,            0.015833,           0.0082599,           0.0020677,           0.0080294,           0.0080294,           0.0080294
                  95,            0.020476,            0.019783,           0.0022849,             0.93257,             0.94488,             0.96818,             0.78681,            0.015734,           0.0077705,          0.00070207,           0.0079903,           0.0079903,           0.0079903
                  96,            0.019841,            0.018827,           0.0020781,             0.91327,              0.9442,             0.96786,             0.78301,            0.014716,           0.0076775,          0.00057217,           0.0079509,           0.0079509,           0.0079509
                  97,            0.019917,            0.018925,           0.0019703,             0.93126,             0.94348,             0.96357,             0.79635,            0.015004,           0.0073813,          0.00069423,           0.0079112,           0.0079112,           0.0079112
                  98,            0.019803,            0.018941,           0.0020513,             0.94088,             0.94222,              0.9726,             0.80017,            0.014734,           0.0075525,           0.0007614,           0.0078713,           0.0078713,           0.0078713
                  99,            0.019458,            0.019221,           0.0019845,             0.93487,             0.95362,             0.97688,             0.80391,            0.015069,           0.0073116,          0.00055072,           0.0078311,           0.0078311,           0.0078311
                 100,            0.019477,            0.019011,            0.002052,             0.94734,             0.94463,              0.9678,             0.80454,             0.01446,           0.0076023,          0.00056047,           0.0077907,           0.0077907,           0.0077907
                 101,            0.019342,            0.018332,           0.0016712,             0.93964,             0.94149,             0.96876,             0.80991,            0.014832,           0.0071935,          0.00067658,             0.00775,             0.00775,             0.00775
                 102,            0.019582,            0.018557,           0.0018173,             0.90964,             0.94556,             0.97196,             0.80491,            0.014995,           0.0073466,          0.00069733,           0.0077091,           0.0077091,           0.0077091
                 103,            0.019622,            0.018853,           0.0018853,             0.94191,             0.94865,              0.9685,             0.80808,            0.014452,           0.0073483,            0.000543,           0.0076679,           0.0076679,           0.0076679
                 104,            0.019619,            0.018766,           0.0019267,             0.95023,             0.94096,             0.97256,             0.80097,            0.014713,           0.0072639,          0.00058794,           0.0076265,           0.0076265,           0.0076265
                 105,            0.019302,            0.018163,           0.0019817,             0.94276,             0.95494,             0.97496,             0.80987,            0.014498,           0.0071178,          0.00054684,           0.0075848,           0.0075848,           0.0075848
                 106,            0.019342,            0.018519,           0.0017287,             0.91845,             0.96413,             0.97326,             0.81023,            0.014789,           0.0072113,           0.0004958,            0.007543,            0.007543,            0.007543
                 107,            0.019048,            0.018664,           0.0016065,             0.95865,             0.92877,             0.97094,              0.8142,            0.014454,            0.006972,          0.00058677,           0.0075009,           0.0075009,           0.0075009
                 108,            0.018856,            0.018285,           0.0016451,             0.91103,             0.97196,             0.97479,             0.82368,            0.014341,           0.0070389,          0.00050884,           0.0074585,           0.0074585,           0.0074585
                 109,            0.019018,            0.018522,           0.0016499,             0.92785,             0.95343,             0.97448,             0.81608,            0.014467,           0.0068541,          0.00055323,            0.007416,            0.007416,            0.007416
                 110,            0.018784,            0.017996,           0.0014903,             0.95125,             0.95201,             0.97401,             0.81975,            0.014263,            0.006879,          0.00051546,           0.0073733,           0.0073733,           0.0073733
                 111,            0.018858,            0.017841,            0.001627,              0.9276,             0.96415,             0.97481,             0.81759,            0.014255,           0.0070408,          0.00062968,           0.0073303,           0.0073303,           0.0073303
                 112,            0.018775,            0.018115,           0.0017169,             0.89521,             0.97361,             0.97436,             0.82423,            0.013571,           0.0068231,          0.00054692,           0.0072872,           0.0072872,           0.0072872
                 113,            0.018872,            0.017976,           0.0016156,             0.93305,             0.94012,             0.96417,             0.81341,            0.014053,           0.0068811,          0.00051334,           0.0072438,           0.0072438,           0.0072438
                 114,            0.018394,            0.018076,           0.0016108,             0.95122,             0.94768,             0.97429,             0.82172,            0.013932,           0.0071083,          0.00050699,           0.0072003,           0.0072003,           0.0072003
                 115,             0.01913,            0.018482,           0.0017789,              0.9483,             0.95044,             0.97451,             0.82599,            0.014216,           0.0069052,          0.00088797,           0.0071566,           0.0071566,           0.0071566
                 116,             0.01874,            0.018161,           0.0018162,             0.93926,             0.96644,             0.97885,             0.82512,            0.013813,             0.00684,           0.0011151,           0.0071127,           0.0071127,           0.0071127
                 117,             0.01862,             0.01824,           0.0016418,             0.95894,             0.96257,             0.97496,             0.82084,              0.0139,           0.0069217,          0.00058998,           0.0070686,           0.0070686,           0.0070686
                 118,            0.018316,            0.017795,           0.0018201,             0.94942,             0.96567,             0.97835,             0.83455,            0.014014,           0.0068497,          0.00041384,           0.0070243,           0.0070243,           0.0070243
                 119,            0.018661,            0.017893,           0.0017701,             0.93171,             0.97517,             0.97478,             0.83262,            0.013779,           0.0068353,          0.00063729,           0.0069799,           0.0069799,           0.0069799
                 120,            0.018575,            0.017665,           0.0015233,             0.96513,             0.94972,             0.98005,             0.83888,             0.01341,           0.0067481,          0.00050899,           0.0069353,           0.0069353,           0.0069353
                 121,              0.0186,            0.017574,           0.0014301,             0.97115,             0.95491,             0.97603,             0.83039,            0.013587,            0.006848,          0.00056898,           0.0068906,           0.0068906,           0.0068906
                 122,            0.018094,            0.017507,           0.0013615,              0.9528,              0.9795,             0.97927,             0.83389,            0.013418,           0.0066739,          0.00051005,           0.0068457,           0.0068457,           0.0068457
                 123,             0.01809,             0.01738,           0.0014192,             0.95946,             0.96003,             0.97855,             0.83325,             0.01385,           0.0067939,           0.0005748,           0.0068006,           0.0068006,           0.0068006
                 124,            0.017906,            0.017248,           0.0013331,             0.94925,             0.96855,             0.97672,             0.83328,            0.013657,           0.0068221,          0.00062511,           0.0067555,           0.0067555,           0.0067555
